movie_name,genre,description
Pretty in Pink,"Romance, Drama, Comedy","Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy."
Red Rock West,"Crime, Drama, Thriller","When a promised job for Texan Michael fails to materialize in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money, and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle."
Marvin's Room,Drama,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.
Guava Island,"Comedy, Thriller, Music","Deni Maroon, a musician and dock worker is determined to pull off a music festival against the interests of the local factory owner."
Carbone,"Thriller, Crime","In danger of losing his business, Anthony Roca, an ordinary man, develops a scam that will become the heist of the century. Overtaken by the crime, he will have to deal with betrayal, murder and settling."
Nymphomaniac: Vol. II,"Drama, Mystery",The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.
Cado dalle nubi,Comedy,"An aspiring singer from southern Italy who's just been dumped moves north to Milan, where he falls in love and enters a TV singing competition show."
Child's Play,Horror,An innocent-looking doll is inhabited by the soul of a serial killer who refuses to die.
Apocalypse Z: The Beginning of the End,"Drama, Action, Horror","When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers."
Judy,"Drama, History, Music","Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband."
The Freshmen,"Comedy, Drama","Antoine is about to start his first year of medical school… for the third time. Benjamin, just out of high school, will make his first try. He soon realizes it's not exactly a walk in the park. In a fiercely competitive environment, with nights dedicated to hard studying rather than hard partying, the two freshmen will have to adapt and find a middle ground between despair for the present and hope for the future."
Disenchanted,"Comedy, Family, Fantasy","Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family."
Iron Will,"Adventure, Family, Action","When Will Stoneman's father dies, he is left alone to take care of his mother and their land. Needing money to maintain it, he decides to join a cross country dogsled race. This race will require days of racing for long hours, through harsh weather and terrain. This young man will need a lot of courage and a strong will to complete this race."
Naruto the Movie: Legend of the Stone of Gelel,"Animation, Adventure, Fantasy","Naruto, Shikamaru, and Sakura are executing their mission of delivering a lost pet to a certain village. However, right in the midst of things, troops led by the mysterious knight, Temujin, attack them. In the violent battle, the three become separated. Temujin challenges Naruto to a fight and at the end of the fierce battle, both fall together from a high cliff..."
Angels & Demons,"Thriller, Mystery","Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave."
Ju-on: The Grudge,Horror,"When social worker Rika is sent to check on a traumatized old lady whose family have moved in at the site of the notorious Saeki family murder case, she unwittingly unleashes a cycle of terror that is transmitted via its victims further and further from its original source."
Local Hero,"Comedy, Drama",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.
Bruce Almighty,"Fantasy, Comedy","Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God — and the Almighty responds, endowing Bruce with all of His divine powers."
Anna Karenina,"Drama, Romance, History","In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation."
Bob Marley: One Love,"Music, History, Drama",Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.
La matassa,Comedy,"Two cousins haven't spoken for almost twenty years, thanks to the enmity that their fathers feel toward one another. But an accident suddenly brings the cousins back together and thrusts them deep into the heart of the mafia."
The Brood,"Horror, Science Fiction","A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation."
Tucker: The Man and His Dream,Drama,"Ypsilanti, Michigan, 1945. Engineer Preston Tucker dreams of designing the car of future, but his innovative envision will be repeatedly sabotaged by his own unrealistic expectations and the Detroit automobile industry tycoons."
DuckTales: The Movie - Treasure of the Lost Lamp,"Adventure, Animation, Family, Comedy, Fantasy","With his nephews and niece, everyone's favorite rich uncle, Scrooge McDuck, treks from his mansion home in Duckburg in search of the long-lost loot of the thief Collie Baba. But finding the goods isn't quite what it's ""quacked"" up to be! Their thrilling adventure leads to comical chaos, magical mayhem, and a lesson about what is far more valuable than money, gold and jewels."
The Amazing Spider-Man,"Action, Adventure, Science Fiction","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero."
The Nun II,Horror,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil."
"Mektoub, My Love: Canto Uno","Romance, Drama","Amin, an aspiring screenwriter living in Paris, returns home for the summer, to a fishing village in the South of France. It is a time of reconnecting with his family and his childhood friends. Together with his cousin Tony and his best friend Ophélie, he spends his time between the Tunisian restaurant run by his parents, the local bars and the beaches frequented by girls on holiday. Enchanted by the many female characters who surround him, Amin remains in awe of these summer sirens while his dionysiac cousin throws himself into their carnal delights with euphoria. Armed with his camera and guided by the bright simmer light of the Mediterranean coast, Amin pursues his philosophical quest while gathering inspiration for his screenplays. When it comes to love, only Mektoub (‘destiny' in Arabic) can decide."
Bros,"Comedy, Romance",Two emotionally unavailable men attempt a relationship.
"As Above, So Below","Horror, Thriller","When a team of explorers ventures into the uncharted maze of bones that lies beneath the streets of Paris, they embark on a journey into madness and terror."
Hector and the Search for Happiness,"Adventure, Drama, Comedy","Hector is a quirky psychiatrist who has become increasingly tired of his humdrum life. As he tells his girlfriend, Clara, he feels like a fraud: he hasn’t really tasted life, and yet he’s offering advice to patients who are just not getting any happier. So Hector decides to break out of his deluded and routine driven life. Armed with buckets of courage and child-like curiosity, he embarks on a global quest in hopes of uncovering the elusive secret formula for true happiness. And so begins a larger than life adventure with riotously funny results."
The Gilded Cage,Comedy,"In the beautiful area of ​​Paris, Maria and José Ribeiro lived for almost thirty years on the ground floor of a Haussmann building, in their dear little lodge."
Worth,"History, Drama","Kenneth Feinberg, a powerful D.C. lawyer appointed Special Master of the 9/11 Fund, fights off the cynicism, bureaucracy, and politics associated with administering government funds and, in doing so, discovers what life is worth."
The Thinning,"Thriller, Drama, Horror","In a post-apocalyptic future where population control is dictated by a high-school aptitude test, two students discover the test is smoke and mirrors hiding a larger conspiracy."
Oddity,"Horror, Mystery","After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge."
Terrifier 2,"Horror, Thriller","A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent."
Stealing Beauty,"Drama, Romance","Lucy Harmon, an American teenager is arriving in the lush Tuscan countryside to be sculpted by a family friend who lives in a beautiful villa. Lucy visited there four years earlier and exchanged a kiss with an Italian boy with whom she hopes to become reacquainted."
Wild Child,"Comedy, Drama, Romance","Sixteen-year-old Poppy has everything her unlimited credit cards can buy, and a spoiled attitude to match. After a final thoughtless prank, her exasperated father ships her off to boarding school in England. There, Poppy meets her match in a stern headmistress and a class full of girls who will not tolerate her selfishness."
Batman: Gotham Knight,"Science Fiction, Animation, Action, Crime",A chronicle of Bruce Wayne's establishment and progression into Gotham City’s legendary caped crusader through 6 standalone episodes.
Appleseed Alpha,"Animation, Science Fiction, Action","Based on the comic book by the creator of Ghost in the Shell, a young female soldier Deunan and her cyborg partner Briareos survive through the post World War 3 apocalyptic New York in search of human's future hope, the legendary city of Olympus."
The Devil's Double,"Drama, Action, Thriller, Crime, War",A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.
The Beautician and the Beast,"Comedy, Romance",A New York City beautician is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.
Mr. Peabody & Sherman,"Animation, Adventure, Family","A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed."
