,INDICATOR,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,FLAG
0,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1950,1,All ages,0.0,13.2,
1,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1960,2,All ages,0.0,12.5,
2,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1970,3,All ages,0.0,13.1,
3,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1980,4,All ages,0.0,12.2,
4,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1981,5,All ages,0.0,12.3,
5,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1982,6,All ages,0.0,12.5,
6,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1983,7,All ages,0.0,12.4,
7,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1984,8,All ages,0.0,12.6,
8,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1985,9,All ages,0.0,12.5,
9,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1986,10,All ages,0.0,13.0,
10,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1987,11,All ages,0.0,12.8,
11,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1988,12,All ages,0.0,12.5,
12,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1989,13,All ages,0.0,12.3,
13,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1990,14,All ages,0.0,12.5,
14,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1991,15,All ages,0.0,12.3,
15,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1992,16,All ages,0.0,12.0,
16,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1993,17,All ages,0.0,12.1,
17,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1994,18,All ages,0.0,11.9,
18,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1995,19,All ages,0.0,11.8,
19,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1996,20,All ages,0.0,11.5,
20,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1997,21,All ages,0.0,11.2,
21,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1998,22,All ages,0.0,11.1,
22,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,1999,23,All ages,0.0,10.5,
23,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2000,24,All ages,0.0,10.4,
24,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2001,25,All ages,0.0,10.7,
25,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2002,26,All ages,0.0,10.9,
26,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2003,27,All ages,0.0,10.8,
27,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2004,28,All ages,0.0,11.0,
28,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2005,29,All ages,0.0,10.9,
29,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2006,30,All ages,0.0,11.0,
30,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2007,31,All ages,0.0,11.3,
31,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2008,32,All ages,0.0,11.6,
32,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2009,33,All ages,0.0,11.8,
33,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2010,34,All ages,0.0,12.1,
34,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2011,35,All ages,0.0,12.3,
35,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2012,36,All ages,0.0,12.6,
36,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2013,37,All ages,0.0,12.6,
37,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2014,38,All ages,0.0,13.0,
38,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2015,39,All ages,0.0,13.3,
39,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2016,40,All ages,0.0,13.5,
40,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2017,41,All ages,0.0,14.0,
41,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Total,0,All persons,0.0,2018,42,All ages,0.0,14.2,
42,Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1,Sex,2,Male,2.1,1950,1,All ages,0.0,21.2,
